sample,cram_path,fastq_prefix,sample_supplier_name,library_type,total_reads
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex57/30786_1#57.cram,Human_colon_16S8000515_S3_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,113150134
Human_colon_16S8000515,/seq/30315/30315_1#57.cram,Human_colon_16S8000515_S4_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,519932
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex59/30786_1#59.cram,Human_colon_16S8000515_S4_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,80517378
Human_colon_16S8123908,/seq/31264/31264_1#45.cram,Human_colon_16S8123908_S1_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,151066
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex45/31512_3#45.cram,Human_colon_16S8123908_S1_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,51905104
Human_colon_16S8123908,/seq/31264/31264_1#46.cram,Human_colon_16S8123908_S2_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,334886
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex47/31512_3#47.cram,Human_colon_16S8123908_S2_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,123196436
Human_colon_16S8123908,/seq/31264/31264_1#48.cram,Human_colon_16S8123908_S3_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,454180
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex46/31512_3#46.cram,Human_colon_16S8123908_S3_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,103111832
Human_colon_16S8123908,/seq/31264/31264_1#47.cram,Human_colon_16S8123908_S4_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,344072
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex48/31512_3#48.cram,Human_colon_16S8123908_S4_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,145235120
Human_colon_16S8123909,/seq/31264/31264_1#52.cram,Human_colon_16S8123909_S1_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,315556
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex50/31512_3#50.cram,Human_colon_16S8123909_S1_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,156431326
Human_colon_16S8123909,/seq/31264/31264_1#49.cram,Human_colon_16S8123909_S2_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,362722
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex49/31512_3#49.cram,Human_colon_16S8123909_S2_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,118313612
Human_colon_16S8123909,/seq/31264/31264_1#51.cram,Human_colon_16S8123909_S3_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,352024
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex52/31512_3#52.cram,Human_colon_16S8123909_S3_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,111041160
Human_colon_16S8123909,/seq/31264/31264_1#50.cram,Human_colon_16S8123909_S4_L001,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,462642
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex51/31512_3#51.cram,Human_colon_16S8123909_S4_L002,A32-APD-0-SC-45N-1,Chromium single cell 5 prime,112192072
Pan_T7917815,/seq/illumina/runs/29/29302/plex2/29302#2.cram,Pan_T7917815_S1_L001,2D_SPL,Chromium single cell,684954
Pan_T7917815,/seq/illumina/runs/29/29302/plex1/29302#1.cram,Pan_T7917815_S2_L001,2D_SPL,Chromium single cell,215103840
Pan_T7917815,/seq/illumina/runs/29/29302/plex4/29302#4.cram,Pan_T7917815_S3_L001,2D_SPL,Chromium single cell,235634768
Pan_T7917815,/seq/illumina/runs/29/29302/plex3/29302#3.cram,Pan_T7917815_S4_L001,2D_SPL,Chromium single cell,222458186
ThDefineAImm12816536,/seq/illumina/runs/44/44753/lane4/plex9/44753_4#9.cram,ThDefineAImm12816536_S1_L001,428C_BMA_US_t-0_G,Chromium single cell 3 prime v2,913193978
ThDefineAImm12816536,/seq/illumina/runs/47/47673/plex25/47673#25.cram,ThDefineAImm12816536_S1_L002,428C_BMA_US_t-0_G,Chromium single cell 5 prime,722262954
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex3/45292#3.cram,ThDefineAImm12935575_S1_L001,411C_SPL_t-0_US_1,Chromium single cell TCR,244251210
ThDefineAImm12935575,/seq/illumina/runs/47/47673/plex10/47673#10.cram,ThDefineAImm12935575_S1_L002,411C_SPL_t-0_US_1,Chromium single cell 5 prime,830093158
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex10/45292#10.cram,ThDefineAImm12935575_S2_L001,411C_SPL_t-0_US_1,Chromium single cell 5 prime,3123015728
UK-CIC10690382,/seq/illumina/runs/40/40608/plex69/40608#69.cram,UK-CIC10690382_S1_L001,Pool_19.2_A,Chromium single cell 5 prime,290847698
UK-CIC10690382,/seq/illumina/runs/40/40611/plex69/40611#69.cram,UK-CIC10690382_S1_L002,Pool_19.2_A,Chromium single cell 5 prime,291112562
UK-CIC10690382,/seq/illumina/runs/40/40617/lane1/plex69/40617_1#69.cram,UK-CIC10690382_S1_L003,Pool_19.2_A,Chromium single cell 5 prime,78031216
UK-CIC10690382,/seq/illumina/runs/40/40617/lane2/plex69/40617_2#69.cram,UK-CIC10690382_S1_L004,Pool_19.2_A,Chromium single cell 5 prime,77226784
UK-CIC10690382,/seq/illumina/runs/40/40754/lane1/plex69/40754_1#69.cram,UK-CIC10690382_S1_L005,Pool_19.2_A,Chromium single cell TCR,91010764
UK-CIC10690382,/seq/illumina/runs/40/40812/lane1/plex68/40812_1#68.cram,UK-CIC10690382_S1_L006,Pool_19.2_A,Chromium single cell BCR,59682056
UK-CIC10690383,/seq/illumina/runs/40/40608/plex70/40608#70.cram,UK-CIC10690383_S1_L001,Pool_19.3_A,Chromium single cell 5 prime,295817814
UK-CIC10690383,/seq/illumina/runs/40/40611/plex70/40611#70.cram,UK-CIC10690383_S1_L002,Pool_19.3_A,Chromium single cell 5 prime,296161770
UK-CIC10690383,/seq/illumina/runs/40/40617/lane1/plex70/40617_1#70.cram,UK-CIC10690383_S1_L003,Pool_19.3_A,Chromium single cell 5 prime,77778862
UK-CIC10690383,/seq/illumina/runs/40/40617/lane2/plex70/40617_2#70.cram,UK-CIC10690383_S1_L004,Pool_19.3_A,Chromium single cell 5 prime,77249554
UK-CIC10690383,/seq/illumina/runs/40/40754/lane1/plex70/40754_1#70.cram,UK-CIC10690383_S1_L005,Pool_19.3_A,Chromium single cell TCR,79307774
UK-CIC10690383,/seq/illumina/runs/40/40812/lane1/plex69/40812_1#69.cram,UK-CIC10690383_S1_L006,Pool_19.3_A,Chromium single cell BCR,83356130
