sample,cram_path,fastq_prefix
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex51/31512_3#51.cram,Human_colon_16S8123909_S4_L002
Pan_T7917815,/seq/illumina/runs/29/29302/plex2/29302#2.cram,Pan_T7917815_S1_L001
Pan_T7917815,/seq/illumina/runs/29/29302/plex1/29302#1.cram,Pan_T7917815_S2_L001
Pan_T7917815,/seq/illumina/runs/29/29302/plex4/29302#4.cram,Pan_T7917815_S3_L001
Pan_T7917815,/seq/illumina/runs/29/29302/plex3/29302#3.cram,Pan_T7917815_S4_L001
ThDefineAImm12816536,/seq/illumina/runs/44/44753/lane4/plex9/44753_4#9.cram,ThDefineAImm12816536_S1_L001
ThDefineAImm12816536,/seq/illumina/runs/47/47673/plex25/47673#25.cram,ThDefineAImm12816536_S1_L002
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex3/45292#3.cram,ThDefineAImm12935575_S1_L001
ThDefineAImm12935575,/seq/illumina/runs/47/47673/plex10/47673#10.cram,ThDefineAImm12935575_S1_L002
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex10/45292#10.cram,ThDefineAImm12935575_S2_L001
UK-CIC10690382,/seq/illumina/runs/40/40608/plex69/40608#69.cram,UK-CIC10690382_S1_L001
UK-CIC10690382,/seq/illumina/runs/40/40611/plex69/40611#69.cram,UK-CIC10690382_S1_L002
UK-CIC10690382,/seq/illumina/runs/40/40617/lane1/plex69/40617_1#69.cram,UK-CIC10690382_S1_L003
UK-CIC10690382,/seq/illumina/runs/40/40617/lane2/plex69/40617_2#69.cram,UK-CIC10690382_S1_L004
UK-CIC10690382,/seq/illumina/runs/40/40754/lane1/plex69/40754_1#69.cram,UK-CIC10690382_S1_L005
UK-CIC10690382,/seq/illumina/runs/40/40812/lane1/plex68/40812_1#68.cram,UK-CIC10690382_S1_L006
UK-CIC10690383,/seq/illumina/runs/40/40608/plex70/40608#70.cram,UK-CIC10690383_S1_L001
UK-CIC10690383,/seq/illumina/runs/40/40611/plex70/40611#70.cram,UK-CIC10690383_S1_L002
UK-CIC10690383,/seq/illumina/runs/40/40617/lane1/plex70/40617_1#70.cram,UK-CIC10690383_S1_L003
UK-CIC10690383,/seq/illumina/runs/40/40617/lane2/plex70/40617_2#70.cram,UK-CIC10690383_S1_L004
UK-CIC10690383,/seq/illumina/runs/40/40754/lane1/plex70/40754_1#70.cram,UK-CIC10690383_S1_L005
UK-CIC10690383,/seq/illumina/runs/40/40812/lane1/plex69/40812_1#69.cram,UK-CIC10690383_S1_L006
