sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
Human_colon_16S8000513,/seq/30315/30315_1#55.cram,Human_colon_16S8000513_S3_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,860808,860808,25,25,8,—
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex54/30786_1#54.cram,Human_colon_16S8000513_S3_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,182150514,182150514,101,101,8,8
Human_colon_16S8000513,/seq/30315/30315_1#54.cram,Human_colon_16S8000513_S4_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,960824,960824,25,25,8,—
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex56/30786_1#56.cram,Human_colon_16S8000513_S4_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,257970910,257970910,101,101,8,8
Human_colon_16S8000515,/seq/30315/30315_1#59.cram,Human_colon_16S8000515_S1_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,378886,378886,25,25,8,—
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex58/30786_1#58.cram,Human_colon_16S8000515_S1_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,107472594,107472594,101,101,8,8
Human_colon_16S8000515,/seq/30315/30315_1#58.cram,Human_colon_16S8000515_S2_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,434632,434632,25,25,8,—
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex60/30786_1#60.cram,Human_colon_16S8000515_S2_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,92107088,92107088,101,101,8,8
Human_colon_16S8000515,/seq/30315/30315_1#60.cram,Human_colon_16S8000515_S3_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,392848,392848,25,25,8,—
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex57/30786_1#57.cram,Human_colon_16S8000515_S3_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,113150134,113150134,101,101,8,8
Human_colon_16S8000515,/seq/30315/30315_1#57.cram,Human_colon_16S8000515_S4_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,519932,519932,25,25,8,—
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex59/30786_1#59.cram,Human_colon_16S8000515_S4_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,80517378,80517378,101,101,8,8
Human_colon_16S8123908,/seq/31264/31264_1#45.cram,Human_colon_16S8123908_S1_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,151066,151066,25,25,8,—
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex45/31512_3#45.cram,Human_colon_16S8123908_S1_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,51905104,51905104,28,91,8,—
Human_colon_16S8123908,/seq/31264/31264_1#46.cram,Human_colon_16S8123908_S2_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,334886,334886,25,25,8,—
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex47/31512_3#47.cram,Human_colon_16S8123908_S2_L002,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,123196436,123196436,28,91,8,—
Human_colon_16S8123908,/seq/31264/31264_1#48.cram,Human_colon_16S8123908_S3_L001,A32-TCL-0-SC-45N-1,Chromium single cell 5 prime,454180,454180,25,25,8,—
